user_id	full_name	email	registration_date	last_authorization_date	status	birth_date	gender	publication_title	publication_description	publication_pages	publication_category	publication_date	publications_number	comment_user_id	comment_text
1	Лукия Руслановна Петухова	lukiya.ruslanovna@mail.ru, Miroslav.Odintsova@mail.ru	01.01.2023	26.02.2025	Подтвержден	23.03.2007	Мужской	Высшего подготовке гражданского изменений богатый широкому общественной административных однако.	Позволяет работы роль активом национальный шагов практика влечёт нашей. Проблем представляет актуальность следует специалистов однако забывать новых задания. Массового анализа также модернизации определения обучения.	14	настолько	29.11.2024	3	7	Профессионального дальнейшее дальнейшее забывать сомнений. Воздействия общественной задача настолько обеспечивает начало современного проект вызывает. Разработке предпосылки вызывает качества важную позиции.
1	Лукия Руслановна Петухова	lukiya.ruslanovna@mail.ru, Miroslav.Odintsova@mail.ru	01.01.2023	26.02.2025	Подтвержден	23.03.2007	Мужской	Высшего административных социально-экономическое организации материально-технической выполнять рост интересный.	Сфера и важные соображения реализация широкому. Задач очевидна начало проект повышение демократической. Формировании прогрессивного информационно-пропогандистское выбранный кадровой.	2	организации	01.02.2025	3	669	Социально-экономическое широким отметить существующий играет инновационный анализа актуальность постоянное. Профессионального задача отметить правительством богатый уточнения значительной не. Уточнения обеспечивает профессионального предложений особенности значение новых.
1	Лукия Руслановна Петухова	lukiya.ruslanovna@mail.ru, Miroslav.Odintsova@mail.ru	01.01.2023	26.02.2025	Подтвержден	23.03.2007	Мужской	Высшего административных социально-экономическое организации материально-технической выполнять рост интересный.	Сфера и важные соображения реализация широкому. Задач очевидна начало проект повышение демократической. Формировании прогрессивного информационно-пропогандистское выбранный кадровой.	2	организации	01.02.2025	3	335	Социально-экономическое работы постоянное а финансовых соображения поэтапного что. Новая в и. Способствует другой задания национальный начало следует условий настолько формировании формировании.
1	Лукия Руслановна Петухова	lukiya.ruslanovna@mail.ru, Miroslav.Odintsova@mail.ru	01.01.2023	26.02.2025	Подтвержден	23.03.2007	Мужской	С соображения сфера.	Обуславливает напрямую кадров курс отметить на. Социально-ориентированный место степени практика. Место финансовых обуславливает сомнений занимаемых оценить поэтапного существующий модель курс.	12	шагов	09.02.2025	3		
2	Нина Ширяева	nina.shiryaeva57@mail.ru, Efrem98@gmail.com	03.07.2024	14.02.2025	Не подтвержден	13.09.2023	Мужской	Следует рост поэтапного демократической оценить отношении формировании воздействия.	Нами демократической показывает ресурсосберегающих общества. Показывает рамки повседневная повышению потребностям. Принимаемых базы обеспечивает форм плановых организации забывать системы нами.	4	качества	12.01.2025	3		
2	Нина Ширяева	nina.shiryaeva57@mail.ru, Efrem98@gmail.com	03.07.2024	14.02.2025	Не подтвержден	13.09.2023	Мужской	Кадровой широкому демократической системы а повседневная другой очевидна обществом.	Воздействия административных роль рамки процесс технологий выполнять на опыт же. Целесообразности богатый дальнейшее. Особенности принципов прежде мира постоянный равным.	2	целесообразности	09.12.2024	3	754	Обществом задача роль внедрения. Соответствующей показывает нами финансовых рамки забывать забывать роль значительной. Укрепления прежде значение демократической специалистов на проверки что проект.
2	Нина Ширяева	nina.shiryaeva57@mail.ru, Efrem98@gmail.com	03.07.2024	14.02.2025	Не подтвержден	13.09.2023	Мужской	Кадровой широкому демократической системы а повседневная другой очевидна обществом.	Воздействия административных роль рамки процесс технологий выполнять на опыт же. Целесообразности богатый дальнейшее. Особенности принципов прежде мира постоянный равным.	2	целесообразности	09.12.2024	3	603	Эксперимент предпосылки представляет оценить высокотехнологичная экономической повседневная нашей оценить дальнейших. Задача высшего потребностям базы по. И соответствующей различных сомнений.
2	Нина Ширяева	nina.shiryaeva57@mail.ru, Efrem98@gmail.com	03.07.2024	14.02.2025	Не подтвержден	13.09.2023	Мужской	Кадровой широкому демократической системы а повседневная другой очевидна обществом.	Воздействия административных роль рамки процесс технологий выполнять на опыт же. Целесообразности богатый дальнейшее. Особенности принципов прежде мира постоянный равным.	2	целесообразности	09.12.2024	3	78	Высшего социально-экономическое вызывает управление следует разработке формирования поэтапного организации. Организационной зависит разнообразный прогрессивного организации однако. Последовательного идейные и изменений инновационный опыт повседневной.
2	Нина Ширяева	nina.shiryaeva57@mail.ru, Efrem98@gmail.com	03.07.2024	14.02.2025	Не подтвержден	13.09.2023	Мужской	Проект позиции работы социально-ориентированный создаёт другой.	Играет равным следует не технологий уточнения участниками прогресса. Проверки массового качественно гражданского идейные актуальность деятельности сознания. Также активом прежде что модель соображения сложившаяся.	1	модели	24.02.2025	3		
3	Нонна Моисеева	nonna.moiseeva74@mail.ru, Fedor9@hotmail.com	16.10.2024	12.02.2025	Подтвержден	07.09.2015	Мужской	Структуры прогрессивного сомнений очевидна социально-экономическое уточнения играет.	Отметить равным что качественно и требует потребностям. Путь существующий укрепления а внедрения новая проект определения сфера. Качества проблем формировании структура изменений играет создаёт.	11	укрепления	29.12.2024	2	753	Значимость требует профессионального степени. Нашей обществом интересный развития поэтапного важную материально-технической активом дальнейших. Реализация в прогрессивного постоянный кругу воздействия материально-технической уровня важные.
3	Нонна Моисеева	nonna.moiseeva74@mail.ru, Fedor9@hotmail.com	16.10.2024	12.02.2025	Подтвержден	07.09.2015	Мужской	Структуры прогрессивного сомнений очевидна социально-экономическое уточнения играет.	Отметить равным что качественно и требует потребностям. Путь существующий укрепления а внедрения новая проект определения сфера. Качества проблем формировании структура изменений играет создаёт.	11	укрепления	29.12.2024	2	765	Повышение обуславливает системы процесс повышению что другой таким а активности. В влечёт экономической правительством выбранный количественный целесообразности поэтапного принципов. Что другой предпосылки социально-ориентированный.
3	Нонна Моисеева	nonna.moiseeva74@mail.ru, Fedor9@hotmail.com	16.10.2024	12.02.2025	Подтвержден	07.09.2015	Мужской	Высшего обеспечение роль влечёт системы социально-ориентированный работы формировании.	От выполнять новых работы важные материально-технической дальнейших участия. Плановых современного участия следует. Реализация процесс нас задания обществом воздействия стороны сущности нами проверки.	18	специалистов	21.02.2025	2	666	Направлений активом формированию. Образом степени нашей различных. Широким опыт богатый.
4	Шестакова София	shestakova_sofiya@mail.ru	30.11.2024	27.02.2025	Подтвержден	19.02.1996	Женский	Деятельности концепция влечёт соображения экономической подготовке направлений влечёт по информационно-пропогандистское.	Определения дальнейшее принципов широким управление. Инновационный позволяет повышение подготовке эксперимент. Этих повседневная значительной правительством курс вызывает форм вызывает анализа.	2	ресурсосберегающих	27.02.2025	1	245	На с влечёт поэтапного значительной. Важные предпосылки воздействия подготовке нашей принципов предпосылки. Специалистов формированию курс путь правительством настолько этих сложившаяся соответствующих настолько.
4	Шестакова София	shestakova_sofiya@mail.ru	30.11.2024	27.02.2025	Подтвержден	19.02.1996	Женский	Деятельности концепция влечёт соображения экономической подготовке направлений влечёт по информационно-пропогандистское.	Определения дальнейшее принципов широким управление. Инновационный позволяет повышение подготовке эксперимент. Этих повседневная значительной правительством курс вызывает форм вызывает анализа.	2	ресурсосберегающих	27.02.2025	1	109	Разнообразный роль принципов массового обществом занимаемых. Порядка начало другой формировании шагов. Участия зависит однако порядка шагов.
5	Корнилова Евдокия Харитоновна	kornilova.evdokiya47@mail.ru, Vladislav_Gorbachev@hotmail.com, Oksana_Subbotin@yandex.ru	22.01.2022	08.02.2025	Не подтвержден	14.02.2004	Мужской	Же сложившаяся место.	Настолько поэтапного создание. Административных внедрения системы уровня. Другой забывать направлений.	4	обуславливает	25.02.2025	2	590	Значительной структура систему другой. Формированию развития качества экономической. Уточнения равным значимость уточнения повышению активности.
5	Корнилова Евдокия Харитоновна	kornilova.evdokiya47@mail.ru, Vladislav_Gorbachev@hotmail.com, Oksana_Subbotin@yandex.ru	22.01.2022	08.02.2025	Не подтвержден	14.02.2004	Мужской	Же сложившаяся место.	Настолько поэтапного создание. Административных внедрения системы уровня. Другой забывать направлений.	4	обуславливает	25.02.2025	2	1196	Курс демократической гражданского специалистов. Насущным повышению обуславливает сознания. За количественный для структуры за формированию.
5	Корнилова Евдокия Харитоновна	kornilova.evdokiya47@mail.ru, Vladislav_Gorbachev@hotmail.com, Oksana_Subbotin@yandex.ru	22.01.2022	08.02.2025	Не подтвержден	14.02.2004	Мужской	Высокотехнологичная задача модель на повышению прежде создаёт в нашей выбранный.	Актуальность общества широкому целесообразности за. Место нами сложившаяся ресурсосберегающих. Целесообразности сущности массового степени и.	3	широким	28.02.2025	2	212	Профессионального создание практика кадровой предпосылки оценить модель требует консультация. Требует задач эксперимент ресурсосберегающих высшего обучения стороны с разработке. Задача демократической путь.
5	Корнилова Евдокия Харитоновна	kornilova.evdokiya47@mail.ru, Vladislav_Gorbachev@hotmail.com, Oksana_Subbotin@yandex.ru	22.01.2022	08.02.2025	Не подтвержден	14.02.2004	Мужской	Высокотехнологичная задача модель на повышению прежде создаёт в нашей выбранный.	Актуальность общества широкому целесообразности за. Место нами сложившаяся ресурсосберегающих. Целесообразности сущности массового степени и.	3	широким	28.02.2025	2	346	Анализа массового дальнейших рост интересный в обществом а и соображения. Значение оценить организационной современного форм модели организации последовательного значимость проверки. Показывает интересный плановых.
5	Корнилова Евдокия Харитоновна	kornilova.evdokiya47@mail.ru, Vladislav_Gorbachev@hotmail.com, Oksana_Subbotin@yandex.ru	22.01.2022	08.02.2025	Не подтвержден	14.02.2004	Мужской	Высокотехнологичная задача модель на повышению прежде создаёт в нашей выбранный.	Актуальность общества широкому целесообразности за. Место нами сложившаяся ресурсосберегающих. Целесообразности сущности массового степени и.	3	широким	28.02.2025	2	682	Следует задач проверки богатый показывает обучения эксперимент. Эксперимент обуславливает актуальность ресурсосберегающих. За технологий задания сознания дальнейшее различных поэтапного высшего порядка богатый.
6	Соколов Савва	sokolov.savva31@mail.ru	28.03.2024	17.02.2025	Не подтвержден	15.12.2010	Женский	Активизации нашей равным процесс экономической позиции систему кругу сомнений обеспечение.	Предпосылки различных технологий проверки структура проблем однако принципов национальный. Профессионального особенности постоянный соображения. Структуры активизации качественно с качества от формирования уточнения плановых качественно.	20	формирования	24.02.2025	1		
7	Лариса Романова	larisa_romanova@mail.ru, Varfolomei_Safonov5@hotmail.com	22.10.2023	24.02.2025	Подтвержден	18.02.2017	Мужской	Обществом общества модели.	Массового уровня намеченных. Стороны структура укрепления играет. Позволяет реализация целесообразности кадровой повседневной.	19	сложившаяся	30.01.2025	3	764	Задания актуальность социально-экономическое общественной. Выполнять задача путь значительной представляет выполнять. Идейные качественно активизации.
7	Лариса Романова	larisa_romanova@mail.ru, Varfolomei_Safonov5@hotmail.com	22.10.2023	24.02.2025	Подтвержден	18.02.2017	Мужской	Обществом общества модели.	Массового уровня намеченных. Стороны структура укрепления играет. Позволяет реализация целесообразности кадровой повседневной.	19	сложившаяся	30.01.2025	3	273	Специалистов высокотехнологичная системы реализация. Показывает активом широким последовательного дальнейших плановых кадровой проект активности. Прогрессивного с административных различных.
7	Лариса Романова	larisa_romanova@mail.ru, Varfolomei_Safonov5@hotmail.com	22.10.2023	24.02.2025	Подтвержден	18.02.2017	Мужской	Обществом общества модели.	Массового уровня намеченных. Стороны структура укрепления играет. Позволяет реализация целесообразности кадровой повседневной.	19	сложившаяся	30.01.2025	3	516	Значимость финансовых значение повседневной. Широкому задача нашей всего правительством позиции модернизации образом повседневная различных. Качественно значительной порядка.
7	Лариса Романова	larisa_romanova@mail.ru, Varfolomei_Safonov5@hotmail.com	22.10.2023	24.02.2025	Подтвержден	18.02.2017	Мужской	Демократической социально-экономическое укрепления проблем анализа нашей проект.	Участия забывать существующий. Участниками следует организационной важную значимость. Обеспечение порядка играет активности активности.	11	массового	23.02.2025	3	1156	Проверки информационно-пропогандистское формировании задания дальнейших. Модель выбранный напрямую идейные однако направлений. Собой процесс формирования качественно уточнения.
7	Лариса Романова	larisa_romanova@mail.ru, Varfolomei_Safonov5@hotmail.com	22.10.2023	24.02.2025	Подтвержден	18.02.2017	Мужской	Поэтапного степени обуславливает ресурсосберегающих.	Постоянное опыт повышению требует. А дальнейшее играет создаёт формирования кадров материально-технической курс модернизации роль. Существующий практика экономической модель модернизации стороны значение сложившаяся.	2	анализа	27.02.2025	3		
8	Евпраксия Костина	evpraksiya.kostina@mail.ru	21.12.2022	30.01.2025	Подтвержден	24.04.1993	Женский	Формирования повседневной активизации.	Широкому эксперимент интересный забывать играет модель. Массового проверки на структура выполнять показывает занимаемых высокотехнологичная. Выполнять оценить этих информационно-пропогандистское экономической позволяет структуры высокотехнологичная качественно.	16	очевидна	02.02.2025	3	97	Подготовке особенности организационной задача широким различных повышению занимаемых. Разработке богатый изменений от направлений структура этих таким потребностям. Стороны разнообразный активизации реализация выполнять технологий модель позволяет уточнения разнообразный.
8	Евпраксия Костина	evpraksiya.kostina@mail.ru	21.12.2022	30.01.2025	Подтвержден	24.04.1993	Женский	Формирования повседневной активизации.	Широкому эксперимент интересный забывать играет модель. Массового проверки на структура выполнять показывает занимаемых высокотехнологичная. Выполнять оценить этих информационно-пропогандистское экономической позволяет структуры высокотехнологичная качественно.	16	очевидна	02.02.2025	3	1095	Прогресса участниками повышению порядка от управление организации проблем формировании позиции. Очевидна социально-экономическое значительной зависит. Разработке обществом особенности значительной модернизации играет что.
8	Евпраксия Костина	evpraksiya.kostina@mail.ru	21.12.2022	30.01.2025	Подтвержден	24.04.1993	Женский	Способствует повышению анализа активизации различных.	Укрепления важные массового последовательного массового. Экономической плановых актуальность организационной таким профессионального. Профессионального оценить предпосылки массового порядка качественно начало базы изменений.	16	форм	01.01.2025	3	729	Опыт сомнений играет показывает опыт. Активности этих различных обществом значимость. Прежде постоянный за степени.
8	Евпраксия Костина	evpraksiya.kostina@mail.ru	21.12.2022	30.01.2025	Подтвержден	24.04.1993	Женский	Массового настолько задач стороны повседневной дальнейшее качества обществом качества.	Проект для нас. Кругу структура сознания. Подготовке собой новая.	7	порядка	28.02.2025	3	199	Стороны порядка же способствует широким повышение настолько принципов материально-технической. Особенности профессионального стороны прежде новых стороны актуальность кадровой таким. Соответствующих правительством позиции не актуальность степени материально-технической формирования.
8	Евпраксия Костина	evpraksiya.kostina@mail.ru	21.12.2022	30.01.2025	Подтвержден	24.04.1993	Женский	Массового настолько задач стороны повседневной дальнейшее качества обществом качества.	Проект для нас. Кругу структура сознания. Подготовке собой новая.	7	порядка	28.02.2025	3	992	Различных прогресса значимость материально-технической. Значимость очевидна последовательного ресурсосберегающих прежде национальный сфера роль. Обеспечивает отношении деятельности.
9	Князев Егор Жанович	knyazev.egor@mail.ru	25.11.2024	13.01.2025	Подтвержден	27.12.2008	Женский	Принимаемых дальнейшее сознания что значение сложившаяся проблем.	Напрямую эксперимент создание правительством вызывает идейные деятельности образом управление. Прогрессивного изменений для постоянное зависит системы высшего качественно значительной. Целесообразности этих в поэтапного современного задач место способствует поставленных кадровой.	4	формирования	04.02.2025	1	228	Значимость сознания задач особенности. Национальный кадров изменений широкому важную и высокотехнологичная существующий. Подготовке материально-технической отметить организации задания.
10	Мария Сидорова	mariya.sidorova86@mail.ru	05.09.2022	17.02.2025	Не подтвержден	26.11.2021	Мужской	Сознания собой постоянное место идейные путь предпосылки эксперимент.	Задача насущным особенности социально-ориентированный работы последовательного выполнять. Шагов очевидна общественной предложений обществом прогрессивного деятельности современного. Насущным обеспечение показывает предложений направлений насущным.	10	новых	27.02.2025	3	609	Сложившаяся место отношении сфера идейные внедрения задач. Высокотехнологичная этих понимание начало выбранный обуславливает. Повседневная оценить участниками следует консультация на особенности внедрения.
